-,-,-
-73, 9, 1026
-73, 9, 1026
13, 6, 1024
-46, 74, 1025
-5, 145, 1017
-5, 145, 1017
23, 115, 1045
37, 115, 1017
72, 178, 1013
78, 121, 1027
121, 116, 1045
121, 116, 1045
179, 102, 1024
203, -19, 1008
182, -122, 1020
122, -230, 1028
79, -297, 1026
72, -320, 1030
62, -328, 1019
15, -324, 1030
15, -324, 1030
-5, -308, 1027
-38, -275, 1012
-59, -234, 1030
-127, -261, 1026
-217, -272, 1043
-215, -231, 972
-294, -185, 1041
-311, -113, 990
-337, -13, 1004
-357, 49, 1019
-319, 65, 992
-346, -4, 988
-346, -4, 988
-325, 0, 1045
-263, 94, 1007
-124, 194, 1015
0, 187, 1020
128, 141, 1023
230, 149, 1032
230, 149, 1032
385, 232, 1050
493, 295, 1002
549, 243, 1030
333, 40, 1026
668, 130, 1019
578, 79, 1017
578, 79, 1017
478, 73, 1029
380, 111, 1024
241, 41, 1054
11, -10, 979
-157, -124, 1044
-271, -190, 1067
-343, -197, 994
-416, -107, 1031
-454, -39, 1028
-454, -39, 1028
-438, -10, 1031
-,-,-
80, 78, 1029
76, 83, 1029
97, 72, 1014
97, 72, 1014
58, -12, 1036
55, -96, 1016
50, -87, 1027
84, -74, 1039
84, -74, 1039
109, -68, 1019
73, -173, 1020
33, -226, 1033
71, -185, 1017
64, -159, 999
57, -178, 1036
57, -178, 1036
33, -178, 1012
-14, -228, 1038
-32, -282, 1028
-60, -303, 1041
-111, -310, 1024
-190, -296, 1016
-237, -239, 1016
-276, -242, 1023
-263, -171, 1010
-304, -111, 1018
-326, -27, 1014
-318, 52, 1018
-319, 93, 980
-341, 113, 1014
-302, 162, 1026
-302, 162, 1026
-231, 257, 1014
-123, 239, 1027
-28, 160, 1030
98, 161, 1035
232, 207, 1025
379, 251, 1012
491, 194, 1029
555, 116, 1033
555, 116, 1033
437, -104, 1018
656, 46, 1019
528, 63, 1032
546, 37, 1018
437, 4, 1034
322, -28, 1030
322, -28, 1030
225, -39, 1001
125, 9, 1024
-56, -27, 1023
-256, -95, 1036
-378, -120, 1019
-494, -73, 1037
-552, -15, 1011
-,-,-
-20, -16, 1020
-81, 10, 1035
14, 30, 1019
14, 30, 1019
-2, 94, 1026
112, 154, 1025
206, 216, 1029
232, 228, 1022
274, 172, 1026
254, -14, 1022
254, -14, 1022
185, -214, 1042
245, -194, 981
138, -355, 1039
59, -429, 1028
27, -413, 1036
-22, -409, 1007
-89, -389, 1043
-119, -383, 1014
-218, -385, 993
-294, -309, 1016
-378, -194, 1009
-419, -135, 974
-522, -113, 1017
-555, -29, 976
-555, -29, 976
-582, 0, 971
-459, 83, 997
-362, 127, 1035
-202, 187, 1018
-132, 168, 1010
63, 220, 1021
229, 252, 1003
229, 252, 1003
446, 291, 1015
677, 309, 1011
889, 365, 1058
577, 54, 1036
1017, 161, 1001
785, 139, 1036
663, 84, 1009
663, 84, 1009
495, 24, 1013
234, -32, 1035
-28, 4, 1023
-246, -41, 1015
-452, -201, 1036
-639, -317, 1012
-723, -257, 1055
-,-,-
29, 56, 1023
57, 155, 1039
147, 198, 1017
147, 198, 1017
194, 113, 1031
240, 65, 1046
326, 67, 1001
364, 3, 1034
360, -80, 1008
360, -80, 1008
280, -232, 1022
166, -391, 1026
69, -438, 1023
-32, -417, 1026
-134, -445, 996
-227, -471, 1035
-294, -471, 999
-381, -422, 1020
-474, -302, 992
-521, -197, 1000
-578, -163, 1008
-568, -125, 974
-536, 21, 914
-444, 174, 1032
-389, 212, 978
-389, 212, 978
-269, 166, 1000
-127, 124, 1039
27, 173, 1009
230, 201, 990
408, 247, 1029
628, 298, 990
751, 308, 1003
751, 308, 1003
843, 250, 1071
654, -20, 1028
650, 65, 1032
666, 128, 1026
572, 99, 1035
471, 88, 1028
471, 88, 1028
230, -71, 962
36, 12, 978
-120, -15, 1037
-227, -135, 1030
-427, -239, 1042
-651, -204, 1014
-698, -88, 1028
-,-,-
112, -87, 1027
43, 35, 1028
74, 148, 1025
138, 191, 1010
222, 185, 1028
302, 193, 1042
302, 193, 1042
322, 249, 1032
315, 159, 1024
221, -40, 1019
167, -203, 1014
91, -399, 1022
20, -511, 1024
-63, -498, 1041
-163, -467, 1015
-206, -471, 1014
-223, -497, 1030
-268, -440, 1044
-316, -323, 988
-316, -323, 988
-357, -209, 1018
-426, -161, 1013
-485, -125, 1018
-482, -104, 968
-442, -47, 1001
-353, 21, 1003
-194, 137, 986
-90, 186, 1051
44, 207, 1005
149, 178, 1037
259, 240, 1002
259, 240, 1002
383, 315, 999
547, 326, 930
607, 368, 1059
429, 216, 1100
628, -19, 1023
562, 126, 1038
536, 88, 1039
536, 88, 1039
459, 23, 1014
382, -16, 989
199, -49, 1049
5, -147, 989
5, -147, 989
-14, 39, 1020
