-,-,-
-9, -10, 1026
-9, -9, 1027
-9, -9, 1026
-8, -9, 1027
-8, -9, 1027
-2, 15, 1025
-4, 199, 1029
44, 250, 1027
73, 265, 1012
73, 265, 1012
116, 215, 1027
159, 115, 1042
164, 46, 1028
232, 39, 1039
227, -7, 1027
227, -7, 1027
225, -113, 1010
195, -217, 1026
81, -335, 1019
27, -391, 1024
-61, -460, 1029
-111, -480, 1035
-135, -407, 1018
-198, -313, 1035
-221, -218, 1020
-252, -190, 1023
-305, -201, 1035
-360, -120, 1018
-401, -87, 1024
-429, -96, 1038
-348, -8, 1005
-287, 5, 1050
-287, 5, 1050
-217, 35, 1022
-167, 115, 1036
-26, 138, 1026
90, 139, 1023
213, 222, 1042
343, 283, 1021
343, 283, 1021
440, 291, 1012
515, 302, 1037
398, 265, 1027
639, 112, 1024
426, 112, 1025
441, 118, 1034
389, 40, 1010
389, 40, 1010
275, -41, 1042
157, -129, 1015
17, -169, 1033
-104, -234, 1000
-252, -336, 1043
-336, -370, 1029
-377, -357, 1021
-387, -319, 1034
-365, -259, 1017
-368, -206, 1027
-347, -108, 1029
-368, -87, 1033
-425, -45, 1018
-419, 18, 1019
-342, 66, 1048
-274, 117, 1022
-274, 117, 1018
-235, 145, 1018
-221, 186, 1056
-99, 216, 1024
4, 137, 1007
159, 90, 1041
322, 144, 1016
450, 197, 1018
-,-,-
-8, -10, 1024
-13, -4, 1027
-76, 124, 1026
40, 203, 1025
47, 187, 1029
47, 187, 1029
95, 117, 1031
130, 114, 1027
192, 170, 1013
286, 130, 1009
276, -25, 1018
275, -171, 1023
218, -259, 1020
134, -293, 1025
134, -293, 1025
72, -342, 1056
-5, -423, 997
-44, -421, 1028
-131, -372, 1030
-196, -329, 1009
-264, -307, 1039
-341, -338, 1035
-422, -281, 1025
-487, -186, 1023
-469, -93, 1023
-409, 21, 1013
-313, 145, 1054
-245, 189, 980
-141, 219, 1058
-27, 190, 1005
-27, 190, 1005
62, 207, 1037
167, 281, 1011
234, 274, 1040
329, 240, 1034
428, 236, 1003
503, 175, 1023
284, 33, 1027
284, 33, 1027
559, 100, 1002
463, 81, 1047
378, -25, 998
268, -132, 1035
146, -227, 1032
3, -297, 1043
3, -297, 1043
-111, -321, 1000
-216, -303, 998
-324, -305, 1039
-398, -301, 1019
-423, -252, 1038
-457, -147, 1017
-425, -34, 1015
-482, -47, 1044
-502, -58, 1001
-478, -1, 1034
-384, 139, 1025
-218, 229, 1023
-87, 266, 1030
58, 210, 1025
58, 210, 1025
184, 150, 1020
334, 142, 998
-,-,-
50, 136, 1032
106, 145, 1006
171, 145, 1034
228, 132, 1021
266, 59, 1043
266, 59, 1043
285, 31, 1016
253, -88, 1020
218, -176, 1017
171, -272, 1015
87, -347, 1052
0, -383, 1026
0, -383, 1026
-7, -363, 1004
-58, -323, 1034
-145, -331, 1013
-190, -326, 1032
-246, -301, 1022
-332, -319, 1045
-446, -317, 1025
-498, -129, 1011
-495, -42, 1027
-473, 20, 1044
-398, 95, 1022
-324, 173, 1032
-186, 274, 1041
-64, 339, 984
-64, 339, 984
75, 311, 1035
94, 235, 1035
140, 197, 1027
218, 193, 1034
301, 174, 1016
393, 143, 1010
393, 143, 1010
438, 81, 1030
390, -48, 1019
344, 18, 1016
393, 73, 1027
391, 59, 1029
369, 16, 1018
369, 16, 1018
284, -16, 1014
181, -85, 1031
37, -143, 1041
-35, -226, 1007
-122, -305, 1019
-175, -339, 1021
-211, -373, 1038
-220, -299, 1018
-254, -258, 1031
-282, -225, 1014
-306, -174, 1018
-361, -100, 1014
-398, -50, 1036
-444, -18, 997
-444, -18, 1059
-481, -26, 1059
-518, -28, 1007
-465, 61, 1048
-317, 190, 1012
-183, 246, 1022
-72, 254, 1023
102, 256, 1046
279, 269, 1027
-,-,-
-23, 0, 1031
15, -8, 1023
3, 5, 1023
3, 5, 1023
-34, 39, 1025
-55, 72, 1022
-5, 134, 1026
54, 164, 1027
54, 164, 1027
140, 168, 1009
233, 151, 1024
278, 89, 1025
316, -38, 1016
284, -161, 1059
279, -249, 1035
265, -275, 996
265, -275, 996
201, -329, 993
77, -379, 985
-20, -334, 1047
-54, -272, 1034
-174, -324, 1027
-358, -427, 1020
-518, -375, 1040
-582, -285, 1032
-636, -168, 1025
-571, -22, 1035
-470, 49, 1013
-346, 168, 1051
-225, 234, 1019
-114, 246, 1009
-3, 269, 1045
-3, 269, 1045
172, 313, 1028
280, 297, 1015
325, 257, 1042
405, 229, 1006
435, 151, 1027
441, 5, 1021
441, 5, 1021
334, 23, 1025
474, 64, 1031
462, 32, 1022
394, -40, 1033
394, -40, 1033
315, -69, 1019
184, -135, 1023
52, -253, 1019
-104, -327, 1005
-225, -396, 1030
-328, -464, 1023
-397, -420, 1041
-442, -285, 1019
-471, -181, 1002
-552, -141, 1032
-588, -88, 1014
-633, -21, 1052
-613, 99, 1005
-542, 232, 1034
-348, 305, 1058
-57, 277, 991
-,-,-
-9, 56, 1013
36, 21, 1025
36, 21, 1025
132, 53, 1026
196, 137, 1025
250, 162, 999
262, 106, 1043
267, 43, 1039
267, 43, 1039
271, -66, 1029
250, -160, 1007
209, -272, 1004
108, -396, 1042
4, -451, 1031
-51, -416, 1023
-81, -377, 1017
-157, -331, 1023
-285, -325, 1013
-359, -292, 1027
-467, -153, 1012
